TIME,TYPE,DATE,STATUS,LINK ID,FILE
00:00:00,SKIP,2023-08-05 21:30:03,,,O:\RECORDINGS\FROM OBS\EVENTS 08-05-23 (2).mkv
0:26:13,00:17:30,2023-08-06 00:44:09,processed,C29,
0:44:19,00:15:30,2023-08-06 00:44:09,processed,C30,
01:00:19,00:08:55,2023-08-06 00:44:09,processed,C31,
02:44:02,00:16:30,2023-08-06 00:44:09,processed,C32,
03:03:12,00:16:30,2023-08-06 00:44:09,processed,C33,
03:22:43,00:17:08,2023-08-06 00:44:09,,,
00:00:00,SKIP,2023-08-07 21:07:22,,,O:\RECORDINGS\FROM OBS\EVENTS 08-07-23.mkv
0:5:59,45:10,2023-08-07 21:13:22,,,
0:11:0,45:10,2023-08-07 21:18:23,,,
0:16:42,300:00,2023-08-07 21:24:05,,,
0:29:25,45:10,2023-08-07 21:36:47,,,
0:32:48,45:10,2023-08-07 21:40:10,,,
0:34:55,300:00,2023-08-07 21:42:18,,,
0:41:53,45:10,2023-08-07 21:49:16,,,
0:57:20,25:25,2023-08-07 22:04:42,,,
0:58:23,45:10,2023-08-07 22:05:45,,,
0:58:55,45:10,2023-08-07 22:06:18,,,
1:29:44,45:10,2023-08-07 22:37:06,,,
1:29:44,00:16:10,2023-08-07 22:37:06,,,
00:00:00,SKIP,2023-08-09 20:39:32,,,O:\RECORDINGS\FROM OBS\EVENTS 08-09-23.mkv
00:31:44,00:14:50,2023-08-07 22:37:06,,,
00:31:44,00:14:50,2023-08-07 22:37:06,,,
00:31:44,00:18:50,2023-08-07 22:37:06,,,
1:53:27,45:10,2023-08-09 22:33:00,,,
00:00:00,SKIP,2023-08-09 23:49:44,,,
0:0:2,600:00,2023-08-09 23:49:46,,,
00:00:00,SKIP,2023-08-10 00:14:29,,,
0:0:13,700:100,2023-08-10 00:14:43,,,
